layer,beta,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
8,0.5,270,0.7734375,0.04913071749547701,0.194873046875,0.04587867786440906,0.39665798611111114,0.07434598114214924,0.5177879050925925,0.07133050953644275,0.8976707175925925,0.037339455099838895,0.5286675347222223,0.06892734520675664
8,0.75,270,0.7730758101851852,0.044732254525950144,0.20814344618055555,0.045245055522614236,0.4693287037037037,0.08863961152126186,0.5177879050925925,0.07133050953644275,0.8352719907407408,0.05799470151031685,0.5394892939814815,0.06837695163082065
9,0.25,270,0.7839699074074075,0.0423267860831686,0.2324725115740741,0.03987965786590454,0.36885127314814814,0.07204314379507458,0.5177879050925925,0.07133050953644275,0.8927372685185185,0.03433243551539329,0.5080656828703703,0.06595049544323506
9,0.5,270,0.7723090277777778,0.04928430806857127,0.19314055266203703,0.04543609691595054,0.40406177662037035,0.0767052471337771,0.5177879050925925,0.07133050953644275,0.8938078703703703,0.03934557496916893,0.5267795138888889,0.06867440088438827
9,0.75,270,0.7723668981481482,0.045002455479393695,0.20722294560185187,0.04593307724857691,0.47834201388888886,0.09120068000934879,0.5177879050925925,0.07133050953644275,0.8298466435185186,0.058968972117691976,0.5382233796296296,0.0674916156185197
10,0.25,270,0.7740306712962963,0.04746611642153918,0.24192708333333332,0.037525403872336584,0.39127242476851853,0.08059360138372405,0.5177879050925925,0.07133050953644275,0.8729021990740741,0.04155198629827336,0.49495804398148147,0.065241793270273
10,0.5,270,0.7756221064814814,0.049917280847886374,0.20165473090277777,0.04691970922184484,0.39792390046296294,0.07883420409654103,0.5177879050925925,0.07133050953644275,0.8962673611111112,0.03883954505313384,0.5270182291666666,0.0679172520524523
10,0.75,270,0.7746238425925925,0.04519004364853728,0.20997721354166668,0.04618218625407509,0.4788556134259259,0.09283367307122674,0.5177879050925925,0.07133050953644275,0.8301070601851852,0.057915385053344544,0.5420645254629629,0.06512251582020258
11,0.25,270,0.7622540509259259,0.049806987867644016,0.24467592592592594,0.03348631584052195,0.41862340856481484,0.08402145396197029,0.5177879050925925,0.07133050953644275,0.8467447916666667,0.044516716581458095,0.48855613425925926,0.06392781110675054
11,0.5,270,0.7757667824074074,0.04984048691606253,0.19945746527777777,0.04592572414417672,0.40349754050925923,0.07911902231896259,0.5177879050925925,0.07133050953644275,0.8963541666666667,0.039328664958807456,0.5305049189814814,0.06825634052698758
11,0.75,270,0.7732638888888889,0.04572980600455797,0.21064091435185187,0.0457894585850552,0.48823784722222224,0.09297639886770843,0.5177879050925925,0.07133050953644275,0.8288917824074075,0.0577243546355469,0.5446252893518518,0.06555688667103358
12,0.25,270,0.7279224537037037,0.06146388444231781,0.2593460648148148,0.029898940161623352,0.48561921296296295,0.09653877638130409,0.5177879050925925,0.07133050953644275,0.7847945601851852,0.05301077746605312,0.4753544560185185,0.061662926936510286
12,0.5,270,0.7740017361111111,0.05043695980791583,0.19922236689814815,0.04638296830508496,0.4139612268518518,0.08145684534490655,0.5177879050925925,0.07133050953644275,0.8870949074074074,0.04226826458219024,0.5263093171296296,0.06756014923492316
12,0.75,270,0.7710648148148148,0.04640630917654751,0.21187065972222222,0.046220862215770535,0.4986906828703704,0.09435984965177704,0.5177879050925925,0.07133050953644275,0.8303674768518519,0.05833663617112488,0.5468822337962963,0.06489038209956699
13,0.25,270,0.7101996527777777,0.06698809244156231,0.27052589699074076,0.03083485432945227,0.5183304398148149,0.10133827890775224,0.5177879050925925,0.07133050953644275,0.7517505787037037,0.05683548958657689,0.4636574074074074,0.06097268332693202
13,0.5,270,0.7748408564814815,0.05087584219478996,0.19911928530092593,0.047190452899625604,0.4195746527777778,0.08210918870601788,0.5177879050925925,0.07133050953644275,0.8830729166666667,0.04333206044471298,0.5266420717592593,0.06738896114046576
13,0.75,270,0.7721064814814815,0.0469235930685473,0.21285807291666667,0.04664253519201604,0.5051721643518519,0.09512277786259898,0.5177879050925925,0.07133050953644275,0.8302806712962963,0.05913273231274221,0.5620876736111111,0.06535098252539424
14,0.25,270,0.6984447337962963,0.07052683584956039,0.2847873263888889,0.03282370759964361,0.5396846064814815,0.10570483047584589,0.5177879050925925,0.07133050953644275,0.7243489583333333,0.06100937823692275,0.4550564236111111,0.060833328533511116
14,0.5,270,0.7784722222222222,0.04971245866954732,0.20174153645833334,0.04753928268596629,0.41844618055555555,0.08165611792935794,0.5177879050925925,0.07133050953644275,0.8847222222222222,0.04165409604935682,0.5383174189814814,0.06604375241953088
14,0.75,270,0.7746383101851851,0.0461101060128226,0.2127170138888889,0.04647148484707026,0.5081307870370371,0.09358399032928523,0.5177879050925925,0.07133050953644275,0.8307002314814815,0.05744566377625122,0.5779513888888889,0.06553803635466583
15,0.25,270,0.6993344907407407,0.06985741316032995,0.2878472222222222,0.03305192772541386,0.5411096643518518,0.1050413831317734,0.5177879050925925,0.07133050953644275,0.7223958333333333,0.06110309586799001,0.4552662037037037,0.06040898373406062
15,0.5,270,0.7820601851851852,0.04856519788040059,0.20413411458333333,0.04757526049673025,0.418822337962963,0.08108108478268419,0.5177879050925925,0.07133050953644275,0.8876880787037037,0.03994544234457492,0.5458260995370371,0.06641317808674148
15,0.75,270,0.7766782407407408,0.045384134639735056,0.21409505208333332,0.046558803759638986,0.5123408564814815,0.09233342499982101,0.5177879050925925,0.07133050953644275,0.8249421296296297,0.05888658534604458,0.5845269097222222,0.06511026085481779
