layer,lambda_reg,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
3,0.5,270,0.7692274305555555,0.04810392734614971,0.22402705439814816,0.047894982348922165,0.43807508680555557,0.08896930355287277,0.5177879050925925,0.07133050953644275,0.8327112268518518,0.05944540140771,0.5365813078703704,0.06776770056101064
3,0.75,270,0.7745804398148148,0.04663439236221381,0.22743778935185185,0.04724215029535112,0.4174515335648148,0.08667875252440153,0.5177879050925925,0.07133050953644275,0.8377025462962963,0.05787408842222809,0.5330873842592593,0.06737626526622732
4,0.25,270,0.7646846064814815,0.0471834421040487,0.2170826099537037,0.04800425775745496,0.4685691550925926,0.08899993465206758,0.5177879050925925,0.07133050953644275,0.8213975694444444,0.06240234280662541,0.5388816550925926,0.06907167391318617
4,0.5,270,0.7727864583333334,0.04586433364099771,0.21691080729166667,0.04663380203593231,0.43997395833333336,0.08574054793368288,0.5177879050925925,0.07133050953644275,0.8338975694444445,0.059370510434755164,0.5327184606481481,0.06721621603785663
4,0.75,270,0.7805555555555556,0.04354585791342151,0.2189597800925926,0.046399815430826004,0.41576244212962965,0.08251470184022411,0.5177879050925925,0.07133050953644275,0.8470775462962963,0.05577826424365403,0.5353226273148148,0.06727889497052227
5,0.25,270,0.7674479166666667,0.046168724335537294,0.21767758969907408,0.047302730312693865,0.4644892939814815,0.08938528697031585,0.5177879050925925,0.07133050953644275,0.8224392361111111,0.06335986498151255,0.5453703703703704,0.07007274934154066
5,0.5,270,0.7719184027777778,0.046302546326529484,0.21742621527777778,0.0460014368755285,0.43841869212962964,0.08604160878119425,0.5177879050925925,0.07133050953644275,0.8300057870370371,0.060531895645276675,0.5351996527777778,0.06671550515969543
5,0.75,270,0.7733217592592593,0.04749051121630049,0.21787651909722222,0.04599434830115328,0.41575520833333335,0.08257655367035788,0.5177879050925925,0.07133050953644275,0.8333767361111111,0.05951578108317809,0.5289134837962963,0.0658716262956469
6,0.25,270,0.7728587962962963,0.04468256890558651,0.2142578125,0.04646267994617283,0.4555266203703704,0.08847109011260978,0.5177879050925925,0.07133050953644275,0.8322916666666667,0.05926925433602663,0.5475549768518518,0.07038031167643348
6,0.5,270,0.7780237268518518,0.04417295304416296,0.20670030381944443,0.04609537610675727,0.4242151331018518,0.08309543552971127,0.5177879050925925,0.07133050953644275,0.8545138888888889,0.051725040761907454,0.5308738425925926,0.06722794505983133
6,0.75,270,0.778125,0.045643051191900846,0.20909830729166667,0.04677069373465144,0.3984989872685185,0.07847608850374282,0.5177879050925925,0.07133050953644275,0.8677228009259259,0.0474227316248734,0.5176576967592592,0.06640928725819133
7,0.25,270,0.7716869212962963,0.044657708880812386,0.20991572627314814,0.04574066470556422,0.47020399305555555,0.08953715603786297,0.5177879050925925,0.07133050953644275,0.8290075231481482,0.05978024139993042,0.549168113425926,0.0703312670386118
7,0.5,270,0.7763454861111111,0.04457321585642405,0.202392578125,0.044840593255210504,0.4394458912037037,0.08395080652956662,0.5177879050925925,0.07133050953644275,0.8551070601851852,0.05005980422364406,0.5359809027777778,0.06805756235083313
7,0.75,270,0.775144675925926,0.04700408395327134,0.19998010706018518,0.04582674144632172,0.4134331597222222,0.07916561073952386,0.5177879050925925,0.07133050953644275,0.8718315972222223,0.04426787588841666,0.5239583333333333,0.06694962533800548
8,0.25,270,0.7705005787037037,0.04503927021178564,0.21193214699074073,0.04625040534923081,0.4811053240740741,0.090828542983054,0.5177879050925925,0.07133050953644275,0.8254484953703703,0.0616039283420688,0.5429181134259259,0.06941386776512845
8,0.5,270,0.7764322916666667,0.04433608090101626,0.20070891203703703,0.04405668510457176,0.44743923611111114,0.08445576106754393,0.5177879050925925,0.07133050953644275,0.8534577546296296,0.05085322575736348,0.5323929398148148,0.06804943177305631
8,0.75,270,0.7757233796296297,0.04646299740204815,0.19348596643518517,0.04430307300816533,0.4182255497685185,0.07833797850553971,0.5177879050925925,0.07133050953644275,0.8723090277777777,0.044015980773629323,0.5232566550925926,0.06763950966620191
9,0.25,270,0.7697482638888888,0.04559781479254385,0.21149450231481481,0.04724600310179431,0.49038628472222223,0.09318885934299437,0.5177879050925925,0.07133050953644275,0.818995949074074,0.06286259548957603,0.5444227430555556,0.06808905782454526
