layer,beta,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
12,0.25,270,0.8127025462962963,0.03370465958465927,0.2917353877314815,0.045732619851266046,0.2540147569444444,0.05831024278056244,0.5177879050925925,0.07133050953644275,0.9609953703703704,0.016133824395343162,0.5269169560185185,0.07281371656063695
12,0.5,270,0.7957175925925926,0.04064801385307479,0.21994538483796297,0.04835493713983929,0.36668836805555555,0.07888490980258896,0.5177879050925925,0.07133050953644275,0.9053096064814815,0.03507687142986028,0.5261935763888889,0.06881496729242845
12,0.75,270,0.7732494212962963,0.04770459353167933,0.21222511574074074,0.04562845804036999,0.4747106481481482,0.09351213389341723,0.5177879050925925,0.07133050953644275,0.8428674768518518,0.05534656728900671,0.5371383101851852,0.06410010698952176
13,0.25,270,0.8084056712962963,0.03373407357992641,0.2751953125,0.04385315375166322,0.27479745370370373,0.060212977586564846,0.5177879050925925,0.07133050953644275,0.9497251157407407,0.020648681147167513,0.5404586226851852,0.0715209141940285
13,0.5,270,0.7925925925925926,0.04044535510091501,0.21993995949074074,0.04623779118197315,0.3786675347222222,0.07880818066658035,0.5177879050925925,0.07133050953644275,0.8950231481481481,0.03768679853605283,0.5368706597222223,0.06782706172970401
13,0.75,270,0.7738859953703704,0.04761985410335914,0.2116156684027778,0.0456614205125561,0.4805700231481482,0.09302436020344906,0.5177879050925925,0.07133050953644275,0.8427662037037037,0.056152296107102415,0.5520471643518519,0.06520170363736806
14,0.25,270,0.8039930555555556,0.035002772845408744,0.27554976851851853,0.04128492448714814,0.28097511574074074,0.05989443591882232,0.5177879050925925,0.07133050953644275,0.9526475694444444,0.018002946944683643,0.5316333912037037,0.07117174837830768
14,0.5,270,0.7900752314814815,0.04116303416769542,0.2192997685185185,0.04569468593680323,0.38284505208333336,0.07833126840958518,0.5177879050925925,0.07133050953644275,0.9006944444444445,0.036691549059375286,0.5340856481481482,0.06746740258666072
14,0.75,270,0.7755497685185185,0.0465829612320373,0.21087239583333334,0.044493065835516175,0.4839337384259259,0.09114034725231589,0.5177879050925925,0.07133050953644275,0.8448206018518518,0.054900852074370766,0.5649522569444444,0.06446664493558525
15,0.25,270,0.7962528935185185,0.038030457908778764,0.26225766782407406,0.04041813510504081,0.29982277199074076,0.061303588174795386,0.5177879050925925,0.07133050953644275,0.9512442129629629,0.01766136958109732,0.5189959490740741,0.06833826130188964
15,0.5,270,0.7803674768518518,0.04408227981274389,0.21048538773148148,0.04331234324257544,0.40805844907407407,0.07743642941323634,0.5177879050925925,0.07133050953644275,0.8991030092592592,0.03481716860486557,0.5244574652777778,0.06431217123870103
15,0.75,270,0.7735098379629629,0.04612690773183075,0.20627350983796297,0.04390191616606937,0.49775752314814814,0.08820113568951797,0.5177879050925925,0.07133050953644275,0.8399594907407407,0.054232858738297716,0.5612340856481481,0.06287026531577132
16,0.25,270,0.8004918981481481,0.03648042990367875,0.27431640625,0.03849267451919188,0.290845630787037,0.060638651860681576,0.5177879050925925,0.07133050953644275,0.9555844907407407,0.016787894218018448,0.5340133101851852,0.06912451471962193
16,0.5,270,0.7872395833333333,0.041905511186074364,0.21624891493055556,0.04336662617942507,0.4002567997685185,0.07597891320637333,0.5177879050925925,0.07133050953644275,0.9067563657407407,0.03396621328756795,0.5512586805555556,0.06664749152313383
16,0.75,270,0.7808304398148148,0.04478478047916479,0.20875651041666668,0.04346724270762012,0.4926070601851852,0.08639231668473824,0.5177879050925925,0.07133050953644275,0.8401620370370371,0.05542462025019439,0.5825882523148148,0.06431367322511056
17,0.25,270,0.8012152777777778,0.03605827966243684,0.2603370949074074,0.038560025112465986,0.29662905092592595,0.05527623873817047,0.5177879050925925,0.07133050953644275,0.956640625,0.015780297402034082,0.5321686921296296,0.06832704912798888
17,0.5,270,0.7876157407407407,0.0428020248698382,0.20809642650462962,0.04250064902763089,0.40489728009259257,0.0721538531645569,0.5177879050925925,0.07133050953644275,0.9062644675925926,0.033045732875239445,0.5485315393518518,0.06489057563603559
17,0.75,270,0.7807436342592593,0.045518607870382734,0.20546875,0.042915668002693,0.4991247106481482,0.08309009011854125,0.5177879050925925,0.07133050953644275,0.8358651620370371,0.05451097263875882,0.5812138310185185,0.06184595517738676
18,0.25,270,0.7967881944444445,0.03756825706688041,0.24075882523148148,0.038265114940007915,0.3130859375,0.053431208130442324,0.5177879050925925,0.07133050953644275,0.9517361111111111,0.015743665901269705,0.5183159722222223,0.06457483014605744
18,0.5,270,0.7828993055555555,0.044493584487777425,0.1913646556712963,0.039177292637487114,0.4218967013888889,0.06955093357057428,0.5177879050925925,0.07133050953644275,0.9021267361111112,0.03245137778973881,0.5279224537037037,0.06166620206185855
18,0.75,270,0.7785734953703703,0.046336753969443596,0.19752604166666668,0.04216968385190818,0.5150535300925926,0.0789129360708882,0.5177879050925925,0.07133050953644275,0.834230324074074,0.052243909167955696,0.5668981481481481,0.059058112921645096
19,0.25,270,0.8047598379629629,0.03544036065275188,0.25439091435185185,0.03513320965562648,0.2993995949074074,0.04875238413621379,0.5177879050925925,0.07133050953644275,0.9562644675925925,0.014339865871677453,0.5256944444444445,0.06606875133758966
19,0.5,270,0.7986979166666667,0.040143604346239356,0.19922417534722223,0.040713610470148986,0.39903790509259257,0.06546293132468872,0.5177879050925925,0.07133050953644275,0.9131076388888889,0.029181259783466414,0.54609375,0.06306561016894154
19,0.75,270,0.7883680555555556,0.04352768485086336,0.1997974537037037,0.04156346511188486,0.5073423032407407,0.07858528253737423,0.5177879050925925,0.07133050953644275,0.8347077546296297,0.05319252964172997,0.5884403935185185,0.06046007809938077
